Year,Month,Data_value
2010,1,2004.7
2010,2,1970.3
2010,3,2178.6
2010,4,1942.4
2010,5,1950.2
2010,6,1868.3
2010,7,1978.6
2010,8,1931.9
2010,9,1968.1
2010,1,2017.9
2010,11,2202.3
2010,12,2620.1
2011,1,2080.9
2011,2,2061.4
2011,3,2229.5
2011,4,2069.2
2011,5,2062.6
2011,6,1966.6
2011,7,2091
2011,8,2054.8
2011,9,2070.3
2011,1,2200.1
2011,11,2331.5
2011,12,2771.2
2012,1,2209.4
2012,2,2230
2012,3,2354.6
2012,4,2112.1
2012,5,2188.9
2012,6,2076.8
2012,7,2136.6
2012,8,2186.6
2012,9,2136.8
2012,1,2292.7
2012,11,2451.3
2012,12,2855.8
2013,1,2333.8
2013,2,2290.5
2013,3,2442
2013,4,2306.3
2013,5,2352.4
2013,6,2221
2013,7,2375.1
2013,8,2369.5
2013,9,2288.2
2013,1,2502.5
2013,11,2654.4
2013,12,3100.6
2014,1,2563.1
2014,2,2478.4
2014,3,2628.6
2014,4,2430.7
2014,5,2524.8
2014,6,2363.6
2014,7,2499
2014,8,2462.8
2014,9,2445.3
2014,1,2682.3
2014,11,2779.1
2014,12,3288.7
2015,1,2692
2015,2,2616.8
2015,3,2822.6
2015,4,2572.2
2015,5,2683.1
2015,6,2595.7
2015,7,2774.3
2015,8,2700.9
2015,9,2693
2015,1,2926.3
2015,11,3050.5
2015,12,3629.9
2016,1,2975.5
2016,2,2982.9
2016,3,3097.3
2016,4,2933.4
2016,5,2937.2
2016,6,2855
2016,7,2998.1
2016,8,2948.8
2016,9,3004.3
2016,1,3210.7
2016,11,3366.1
2016,12,4017
2017,1,3614.6
2017,2,3487.9
2017,3,3818.5
2017,4,3477.2
2017,5,3597.6
2017,6,3462.5
2017,7,3563.7
2017,8,3594
2017,9,3554
2017,1,3815.2
2017,11,4100.6
2017,12,4727
2018,1,4037.6
2018,2,3888.3
2018,3,4248
2018,4,3830.5
2018,5,3978.5
2018,6,3835.2
2018,7,3944.4
2018,8,4024.5
2018,9,3961.2
2018,1,4296
2018,11,4496.4
2018,12,5002.4
2019,1,4350.1
2019,2,4135.8
2019,3,4447.2
2019,4,4143.2
2019,5,4230.3
2019,6,4004.2
2019,7,4150.2
2019,8,4229.3
2019,9,4123.2
2019,1,4450.3
2019,11,4747.5
2019,12,5266.5
2020,1,4584.2
2020,2,4475.2
2020,3,4266.7
2020,4,2487.9
2020,5,4292.8
2020,6,4627.9
2020,7,4797.2
2020,8,4472.1
2020,9,4693.8
2020,1,5073.8
2020,11,5111
2020,12,5803.5
2021,1,4807.1
2021,2,4419.8
2021,3,4931.7
2021,4,4864.7
2021,5,5078.4
2021,6,4985.5
2021,7,5360.7
2000,1,
2000,2,
2000,3,
2000,4,
2000,5,
2000,6,
2000,7,
2000,8,
2000,9,
2000,1,
2000,11,
2000,12,
2001,1,
2001,2,
2001,3,
2001,4,
2001,5,
2001,6,
2001,7,
2001,8,
2001,9,
2001,1,
2001,11,
2001,12,
2002,1,
2002,2,
2002,3,
2002,4,
2002,5,
2002,6,
2002,7,
2002,8,
2002,9,
2002,1,1615.6
2002,11,1588.7
2002,12,1910.6
2003,1,1573.5
2003,2,1466.9
2003,3,1615.7
